url,type,fat_content,milk,calcium_content,texture,color
https://www.cheese.com/aarewasser/,semi-soft,,cow,,buttery,yellow
https://www.cheese.com/abbaye-de-belloc/,"semi-hard, artisan",,sheep,,"creamy, dense, firm",yellow
https://www.cheese.com/abbaye-de-belval/,semi-hard,40-46%,cow,,elastic,ivory
https://www.cheese.com/abbaye-de-citeaux/,"semi-soft, artisan, brined",,cow,,"creamy, dense, smooth",white
https://www.cheese.com/tamie/,"soft, artisan",,cow,,"creamy, open, smooth",white
https://www.cheese.com/abbaye-de-timadeuc/,semi-hard,,cow,,soft,pale yellow
https://www.cheese.com/abbaye-du-mont-des-cats/,"semi-soft, artisan, brined",50%,cow,,"smooth, supple",pale yellow
https://www.cheese.com/abbots-gold/,semi-hard,,cow,,"creamy, crumbly, dense, semi firm",pale yellow
https://www.cheese.com/abertam/,"hard, artisan",45%,sheep,,firm,pale yellow
https://www.cheese.com/abondance/,"semi-hard, artisan",,cow,,creamy,pale yellow
https://www.cheese.com/acapella/,"soft, soft-ripened",,goat,,,
https://www.cheese.com/accasciato/,semi-hard,,"buffalo, cow",,firm,pale yellow
https://www.cheese.com/ackawi/,"soft, brined",,"cow, goat, sheep",,"elastic, smooth, springy",white
https://www.cheese.com/acorn/,"hard, artisan",52%,sheep,,"crumbly, firm",
https://www.cheese.com/adelost/,"semi-soft, blue-veined",50%,cow,,creamy,blue
https://www.cheese.com/adl-brick-cheese/,semi-soft,12%,cow,,"elastic, firm, open, soft",ivory
https://www.cheese.com/adl-mild-cheddar/,semi-hard,14%,cow,,"firm, springy",yellow
https://www.cheese.com/affidelice-au-chablis/,soft,55%,cow,26 mg/100g,"creamy, smooth",orange
https://www.cheese.com/affineur-walo-rotwein-sennechas/,"hard, artisan",,cow,,smooth,cream
https://www.cheese.com/afuegal-pitu/,"soft, artisan",,cow,,smooth,
https://www.cheese.com/aged-british-cheddar/,"hard, artisan",,cow,,"crumbly, crystalline, flaky",pale yellow
https://www.cheese.com/aged-cashew-blue-green-algae-cheese/,"firm, artisan",,,,"firm, spreadable",blue
https://www.cheese.com/aged-cashew-brazil-nut-cheese/,"firm, artisan",,,,"firm, spreadable",brown
https://www.cheese.com/aged-cashew-dulse-cheese/,"firm, artisan",,,,"firm, spreadable",brown
https://www.cheese.com/aged-cashew-hemp-seed-cheese/,"firm, artisan",,,,"firm, spreadable",brown
https://www.cheese.com/aged-cashew-nut-kale-cheese/,"firm, artisan",,,,"firm, spreadable",green
https://www.cheese.com/aged-cashew-nut-cheese/,"firm, artisan",,,,"firm, spreadable",golden yellow
https://www.cheese.com/aged-cheddar/,hard,,cow,,"buttery, creamy, crumbly",golden yellow
https://www.cheese.com/aged-chelsea/,soft,,goat,,"creamy, spreadable",ivory
https://www.cheese.com/aged-gouda/,hard,,"cow, goat, sheep",,"crumbly, crystalline, dense",yellow
https://www.cheese.com/aggiano/,"hard, artisan",,cow,,"creamy, dry",cream
https://www.cheese.com/ailsa-craig/,"semi-soft, artisan",,goat,,"creamy, fluffy",white
https://www.cheese.com/airedale/,"semi-soft, artisan",,cow,,smooth,pale yellow
https://www.cheese.com/aisy-cendre/,"semi-soft, smear-ripened",50%,cow,,"creamy, smooth",white
https://www.cheese.com/alex-james-co-no-1-cheddar/,hard,,cow,,"creamy, crumbly",yellow
